EXPEDITION,BLOCK,PLOT,TRT,ID,N,P,CATIONS,COLLECTION_DATE,CONDITION,Weight1_1,Weight1_2,Weight1_3,Mean_weight_1,Weight2_1,Weight2_2,Weight2_3,Mean_weight_2,Weight3_1,Weight3_2,Weight3_3,Mean_weight_3,Residual_fat,Standard_residuals_hingstepeira
FIRST,B1,P4,Cations,Ca_R01,0,0,1,16/10/2022,Adult,0.004,0.0039,0.003,0.0036,0.0031,0.003,0.0032,0.0031,0.0028,0.0029,0.0033,0.003,6.00E-04,0.182766458
FIRST,B1,P4,Cations,Ca_R02,0,0,1,16/10/2022,Adult,0.0023,0.0021,0.0024,0.0023,0.0023,0.0023,0.0021,0.0022,0.0023,0.0023,0.0023,0.0023,0,-0.400884679
FIRST,B4,P6,Cations,Ca_R03,0,0,1,20/10/2022,Adult,0.0039,0.0037,0.0033,0.0036,0.0034,0.003,0.0031,0.0032,0.0028,0.0027,0.0029,0.0028,8.00E-04,0.636184104
FIRST,B4,P6,Cations,Ca_R04,0,0,1,20/10/2022,Adult,0.0033,0.003,0.0033,0.0032,0.0033,0.0026,0.0028,0.0029,0.003,0.003,0.0031,0.003,2.00E-04,-0.484250049
FIRST,B3,P6,Cations,Ca_R05,0,0,1,22/10/2022,Adult,0.0034,0.0035,0.0034,0.0034,0.0033,0.0032,0.003,0.0032,0.003,0.0029,0.0032,0.003,4.00E-04,-0.150741795
FIRST,B2,P3,Cations,Ca_R08,0,0,1,24/10/2022,Adult,0.0032,0.0036,0.0033,0.0034,0.0031,0.003,0.0029,0.003,0.0032,0.003,0.003,0.0031,3.00E-04,-0.377126913
SECOND,B3,P6,Cations,Ca_R09,0,0,1,03/06/2023,Adult,0.0024,0.0021,0.0022,0.0022,0.0021,0.002,0.002,0.002,0.0022,0.0021,0.0022,0.0022,0,-0.341174659
SECOND,B4,P6,Cations,Ca_R31,0,0,1,13/06/2023,Adult,0.0042,0.0046,0.0047,0.0045,0.0037,0.0036,0.0037,0.0037,0.0038,0.0036,0.0035,0.0036,9.00E-04,0.324288244
THIRD,B3,P6,Cations,Ca_R37,0,0,1,20/03/2024,Adult,0.0044,0.0036,0.0041,0.004,0.0035,0.0038,0.0041,0.0038,0.0038,0.0039,0.0039,0.0039,1.00E-04,-1.187541935
THIRD,B3,P6,Cations,Ca_R39,0,0,1,20/03/2024,Adult,0.0037,0.0037,0.0034,0.0036,0.0033,0.0031,0.0032,0.0032,0.0029,0.003,0.0029,0.0029,7.00E-04,0.409388181
THIRD,B2,P3,Cations,Ca_R41,0,0,1,21/03/2024,Adult,0.0102,0.0092,0.009,0.0095,0.0059,0.006,0.0059,0.0059,0.0057,0.0057,0.0059,0.0058,0.0037,3.712689159
THIRD,B4,P6,Cations,Ca_R42,0,0,1,23/03/2024,Adult,0.0027,0.003,0.0026,0.0028,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,6.00E-04,0.663184413
THIRD,B4,P6,Cations,Ca_R44,0,0,1,23/03/2024,Adult,0.0066,0.0068,0.0065,0.0066,0.0053,0.0054,0.0054,0.0054,0.0054,0.0057,0.0056,0.0056,0.001,-0.708399323
THIRD,B4,P6,Cations,Ca_R46,0,0,1,23/03/2024,Adult,0.007,0.0075,0.0078,0.0074,0.0046,0.0049,0.0047,0.0047,0.0048,0.0047,0.0048,0.0048,0.0026,2.446878895
THIRD,B4,P6,Cations,Ca_R48,0,0,1,23/03/2024,Adult,0.0043,0.0043,0.0042,0.0043,0.0042,0.0043,0.0043,0.0043,0.0044,0.0044,0.0042,0.0043,0,-1.594047866
THIRD,B4,P6,Cations,Ca_R50,0,0,1,23/03/2024,Adult,0.0065,0.007,0.007,0.0068,0.006,0.0055,0.0059,0.0058,0.0059,0.0057,0.0059,0.0058,0.001,-0.830230667
THIRD,B4,P6,Cations,Ca_R51,0,0,1,23/03/2024,Adult,0.0048,0.0044,0.0047,0.0046,0.0034,0.0036,0.0035,0.0035,0.0034,0.0035,0.0034,0.0034,0.0012,0.943549405
THIRD,B4,P6,Cations,Ca_R53,0,0,1,23/03/2024,Adult,0.0042,0.0033,0.0034,0.0036,0.0035,0.0031,0.0029,0.0032,0.0031,0.0032,0.0032,0.0032,4.00E-04,-0.270075184
FIRST,B1,P8,Control,Co_R01,0,0,0,15/10/2022,Adult,0.0029,0.0031,0.0029,0.003,0.0031,0.0032,0.0031,0.0031,0.0032,0.0028,0.0028,0.0029,1.00E-04,-0.591458867
FIRST,B1,P8,Control,Co_R02,0,0,0,15/10/2022,Adult,0.0045,0.0045,0.0049,0.0046,0.0044,0.0046,0.0046,0.0045,0.0043,0.0041,0.0045,0.0043,3.00E-04,-1.093871902
FIRST,B1,P8,Control,Co_R04,0,0,0,16/10/2022,Adult,0.0025,0.0024,0.003,0.0026,0.0028,0.0026,0.0028,0.0027,0.0022,0.0026,0.0025,0.0024,2.00E-04,-0.12616304
FIRST,B4,P1,Control,Co_R06,0,0,0,20/10/2022,Adult,0.0038,0.0038,0.0037,0.0038,0.0027,0.0026,0.0029,0.0027,0.0027,0.0027,0.0029,0.0028,0.001,0.969922055
FIRST,B2,P8,Control,Co_R08,0,0,0,24/10/2022,Adult,0.0038,0.0033,0.004,0.0037,0.003,0.0031,0.003,0.003,0.0031,0.003,0.0033,0.0031,6.00E-04,0.122996519
