EXPEDITION,BLOCK,PLOT,ID,STEP,WEIGHT
FIRST,1,4,Ca_R01,Pi,0.0036
FIRST,1,4,Ca_R01,P1,0.0031
FIRST,1,4,Ca_R01,P2,0.003
FIRST,1,4,Ca_R02,Pi,0.0023
FIRST,1,4,Ca_R02,P1,0.0022
FIRST,1,4,Ca_R02,P2,0.0023
FIRST,4,6,Ca_R03,Pi,0.0036
FIRST,4,6,Ca_R03,P1,0.0032
FIRST,4,6,Ca_R03,P2,0.0028
FIRST,4,6,Ca_R04,Pi,0.0032
FIRST,4,6,Ca_R04,P1,0.0029
FIRST,4,6,Ca_R04,P2,0.003
FIRST,3,6,Ca_R05,Pi,0.0034
FIRST,3,6,Ca_R05,P1,0.0032
FIRST,3,6,Ca_R05,P2,0.003
FIRST,2,3,Ca_R08,Pi,0.0034
FIRST,2,3,Ca_R08,P1,0.003
FIRST,2,3,Ca_R08,P2,0.0031
SECOND,3,6,Ca_R09,Pi,0.0022
SECOND,3,6,Ca_R09,P1,0.002
SECOND,3,6,Ca_R09,P2,0.0022
SECOND,4,6,Ca_R31,Pi,0.0045
SECOND,4,6,Ca_R31,P1,0.0037
SECOND,4,6,Ca_R31,P2,0.0036
THIRD,3,6,Ca_R37,Pi,0.004
THIRD,3,6,Ca_R37,P1,0.0038
THIRD,3,6,Ca_R37,P2,0.0039
THIRD,3,6,Ca_R39,Pi,0.0036
THIRD,3,6,Ca_R39,P1,0.0032
THIRD,3,6,Ca_R39,P2,0.0029
THIRD,2,3,Ca_R41,Pi,0.0095
THIRD,2,3,Ca_R41,P1,0.0059
THIRD,2,3,Ca_R41,P2,0.0058
THIRD,4,6,Ca_R42,Pi,0.0028
THIRD,4,6,Ca_R42,P1,0.0022
THIRD,4,6,Ca_R42,P2,0.0022
THIRD,4,6,Ca_R44,Pi,0.0066
THIRD,4,6,Ca_R44,P1,0.0054
THIRD,4,6,Ca_R44,P2,0.0056
THIRD,4,6,Ca_R46,Pi,0.0074
THIRD,4,6,Ca_R46,P1,0.0047
THIRD,4,6,Ca_R46,P2,0.0048
THIRD,4,6,Ca_R48,Pi,0.0043
THIRD,4,6,Ca_R48,P1,0.0043
THIRD,4,6,Ca_R48,P2,0.0043
THIRD,4,6,Ca_R50,Pi,0.0068
THIRD,4,6,Ca_R50,P1,0.0058
THIRD,4,6,Ca_R50,P2,0.0058
THIRD,4,6,Ca_R51,Pi,0.0046
THIRD,4,6,Ca_R51,P1,0.0035
THIRD,4,6,Ca_R51,P2,0.0034
THIRD,4,6,Ca_R53,Pi,0.0036
THIRD,4,6,Ca_R53,P1,0.0032
THIRD,4,6,Ca_R53,P2,0.0032
FIRST,1,8,Co_R01,Pi,0.003
FIRST,1,8,Co_R01,P1,0.0031
FIRST,1,8,Co_R01,P2,0.0029
FIRST,1,8,Co_R02,Pi,0.0046
FIRST,1,8,Co_R02,P1,0.0045
FIRST,1,8,Co_R02,P2,0.0043
FIRST,1,8,Co_R04,Pi,0.0026
FIRST,1,8,Co_R04,P1,0.0027
FIRST,1,8,Co_R04,P2,0.0024
FIRST,4,1,Co_R06,Pi,0.0038
FIRST,4,1,Co_R06,P1,0.0027
FIRST,4,1,Co_R06,P2,0.0028
FIRST,2,8,Co_R08,Pi,0.0037
FIRST,2,8,Co_R08,P1,0.003
FIRST,2,8,Co_R08,P2,0.0031
SECOND,1,8,Co_R11,Pi,0.0048
SECOND,1,8,Co_R11,P1,0.0048
SECOND,1,8,Co_R11,P2,0.0048
SECOND,4,1,Co_R36,Pi,0.0021
SECOND,4,1,Co_R36,P1,0.0021
SECOND,4,1,Co_R36,P2,0.0021
THIRD,1,8,Co_R38,Pi,0.0078
THIRD,1,8,Co_R38,P1,0.006
THIRD,1,8,Co_R38,P2,0.0059
THIRD,1,8,Co_R41,Pi,0.0107
THIRD,1,8,Co_R41,P1,0.0082
THIRD,1,8,Co_R41,P2,0.0088
THIRD,1,8,Co_R42,Pi,0.0033
THIRD,1,8,Co_R42,P1,0.0032
THIRD,1,8,Co_R42,P2,0.0029
