EXPEDITION,BLOCK,PLOT,ID,STEP,WEIGHT
FIRST,1,4,Ca_R01,Pi,0.009
FIRST,1,4,Ca_R01,P1,0.0075
FIRST,1,4,Ca_R01,P2,0.0078
FIRST,1,4,Ca_R02,Pi,0.0085
FIRST,1,4,Ca_R02,P1,0.0072
FIRST,1,4,Ca_R02,P2,0.0071
FIRST,4,6,Ca_R03,Pi,0.0064
FIRST,4,6,Ca_R03,P1,0.0058
FIRST,4,6,Ca_R03,P2,0.0057
FIRST,4,6,Ca_R04,Pi,0.0099
FIRST,4,6,Ca_R04,P1,0.0098
FIRST,4,6,Ca_R04,P2,0.0097
FIRST,4,6,Ca_R05,Pi,0.0083
FIRST,4,6,Ca_R05,P1,0.0079
FIRST,4,6,Ca_R05,P2,0.0077
FIRST,4,6,Ca_R06,Pi,0.0095
FIRST,4,6,Ca_R06,P1,0.0089
FIRST,4,6,Ca_R06,P2,0.0088
FIRST,4,6,Ca_R07,Pi,0.0075
FIRST,4,6,Ca_R07,P1,0.0065
FIRST,4,6,Ca_R07,P2,0.0065
FIRST,2,3,Ca_R08,Pi,0.0096
FIRST,2,3,Ca_R08,P1,0.0093
FIRST,2,3,Ca_R08,P2,0.0091
FIRST,3,6,Ca_R09,Pi,0.0067
FIRST,3,6,Ca_R09,P1,0.0067
FIRST,3,6,Ca_R09,P2,0.0067
FIRST,3,6,Ca_R10,Pi,0.0059
FIRST,3,6,Ca_R10,P1,0.0059
FIRST,3,6,Ca_R10,P2,0.0057
FIRST,3,6,Ca_R11,Pi,0.0058
FIRST,3,6,Ca_R11,P1,0.0057
FIRST,3,6,Ca_R11,P2,0.0058
FIRST,3,6,Ca_R12,Pi,0.01
FIRST,3,6,Ca_R12,P1,0.0084
FIRST,3,6,Ca_R12,P2,0.0085
FIRST,3,6,Ca_R13,Pi,0.0079
FIRST,3,6,Ca_R13,P1,0.0078
FIRST,3,6,Ca_R13,P2,0.0075
FIRST,3,6,Ca_R14,Pi,0.0099
FIRST,3,6,Ca_R14,P1,0.0093
FIRST,3,6,Ca_R14,P2,0.0089
FIRST,2,3,Ca_R15,Pi,0.0094
FIRST,2,3,Ca_R15,P1,0.0089
FIRST,2,3,Ca_R15,P2,0.0086
FIRST,4,6,Ca_R16,Pi,0.0086
FIRST,4,6,Ca_R16,P1,0.0079
FIRST,4,6,Ca_R16,P2,0.0075
FIRST,2,3,Ca_R18,Pi,0.0075
FIRST,2,3,Ca_R18,P1,0.0077
FIRST,2,3,Ca_R18,P2,0.0073
SECOND,3,6,Ca_R19,Pi,0.0049
SECOND,3,6,Ca_R19,P1,0.0046
SECOND,3,6,Ca_R19,P2,0.0045
SECOND,3,6,Ca_R20,Pi,0.0089
SECOND,3,6,Ca_R20,P1,0.0081
SECOND,3,6,Ca_R20,P2,0.0082
SECOND,2,3,Ca_R21,Pi,0.0058
SECOND,2,3,Ca_R21,P1,0.0051
SECOND,2,3,Ca_R21,P2,0.005
SECOND,2,3,Ca_R22,Pi,0.0089
SECOND,2,3,Ca_R22,P1,0.0079
SECOND,2,3,Ca_R22,P2,0.0079
SECOND,4,6,Ca_R24,Pi,0.0079
