EXPEDITION,BLOCK,PLOT,TRT,ID,COLLECTION_DATE,P,N,CATIONS,Weight1_1,Weight1_2,Weight1_3,Mean_weight_1,Weight2_1,Weight2_2,Weight2_3,Mean_weight_2,Weight3_1,Weight3_2,Weight3_3,Mean_weight_3,Residual_fat,Standard_residuals_spilasma
FIRST,B1,P4,Cations,Ca_R01,16/10/2022,0,0,1,0.009,0.009,0.009,0.009,0.0074,0.0073,0.0077,0.0075,0.0079,0.0077,0.0077,0.0078,0.0012,0.619009289
FIRST,B1,P4,Cations,Ca_R02,16/10/2022,0,0,1,0.0085,0.0084,0.0086,0.0085,0.0071,0.0072,0.0073,0.0072,0.0072,0.0071,0.0069,0.0071,0.0014,1.099017115
FIRST,B4,P6,Cations,Ca_R03,20/10/2022,0,0,1,0.0063,0.0065,0.0064,0.0064,0.0059,0.0058,0.0058,0.0058,0.0058,0.0057,0.0056,0.0057,7.00E-04,0.158501633
FIRST,B4,P6,Cations,Ca_R04,20/10/2022,0,0,1,0.01,0.0099,0.0097,0.0099,0.0096,0.0098,0.0099,0.0098,0.0098,0.0097,0.0096,0.0097,2.00E-04,-1.480856874
FIRST,B4,P6,Cations,Ca_R05,20/10/2022,0,0,1,0.0084,0.0083,0.0083,0.0083,0.0077,0.0079,0.0081,0.0079,0.0077,0.0077,0.0077,0.0077,6.00E-04,-0.398900753
FIRST,B4,P6,Cations,Ca_R06,20/10/2022,0,0,1,0.0094,0.0094,0.0096,0.0095,0.0089,0.0089,0.0089,0.0089,0.0089,0.0089,0.0085,0.0088,7.00E-04,-0.438123906
FIRST,B4,P6,Cations,Ca_R07,20/10/2022,0,0,1,0.0076,0.0075,0.0075,0.0075,0.0063,0.0066,0.0065,0.0065,0.0065,0.0067,0.0062,0.0065,0.001,0.523202226
FIRST,B2,P3,Cations,Ca_R08,18/10/2022,0,0,1,0.0096,0.0096,0.0097,0.0096,0.0094,0.0093,0.0093,0.0093,0.0091,0.009,0.0091,0.0091,5.00E-04,-0.842738718
FIRST,B3,P6,Cations,Ca_R09,20/10/2022,0,0,1,0.0067,0.0067,0.0066,0.0067,0.0069,0.0066,0.0067,0.0067,0.0067,0.0068,0.0067,0.0067,0,-1.243914118
FIRST,B3,P6,Cations,Ca_R10,20/10/2022,0,0,1,0.0061,0.0059,0.0058,0.0059,0.0061,0.0058,0.0059,0.0059,0.0057,0.0056,0.0058,0.0057,2.00E-04,-0.707109069
