EXPEDITION,BLOCK,PLOT,TRT,ID,COLLECTION_DATA,N,P,CATIONS,SEX,AGE,WIDTH_CEPHALOTHORAX,CONDITION
FIRST,B1,P4,Cations,Ca_R01,16/10/2022,0,0,1,Female,Adult,1.73,Adult
FIRST,B1,P4,Cations,Ca_R02,16/10/2022,0,0,1,Female,Adult,1.7,Adult
FIRST,B4,P6,Cations,Ca_R03,20/10/2022,0,0,1,Female,Adult,1.71,Adult
FIRST,B4,P6,Cations,Ca_R04,20/10/2022,0,0,1,Female,Adult,1.65,Adult
FIRST,B3,P6,Cations,Ca_R05,22/10/2022,0,0,1,Female,Adult,1.49,Adult
FIRST,B2,P3,Cations,Ca_R08,24/10/2022,0,0,1,Female,Adult,1.59,Adult
SECOND,B3,P6,Cations,Ca_R09,03/06/2023,0,0,1,Female,Adult,1.5,Adult
SECOND,B4,P6,Cations,Ca_R31,13/06/2023,0,0,1,Female,Adult,1.76,Adult
THIRD,B3,P6,Cations,Ca_R37,20/03/2024,0,0,1,Female,Adult,1.87,Adult
THIRD,B3,P6,Cations,Ca_R39,20/03/2024,0,0,1,Female,Adult,1.69,Adult
THIRD,B2,P3,Cations,Ca_R41,21/03/2024,0,0,1,Female,Adult,1.78,Adult
THIRD,B4,P6,Cations,Ca_R42,23/03/2024,0,0,1,Female,Adult,1.67,Adult
THIRD,B4,P6,Cations,Ca_R44,23/03/2024,0,0,1,Female,Adult,1.62,Adult
THIRD,B4,P6,Cations,Ca_R46,23/03/2024,0,0,1,Female,Adult,1.67,Adult
THIRD,B4,P6,Cations,Ca_R48,23/03/2024,0,0,1,Female,Adult,1.76,Adult
THIRD,B4,P6,Cations,Ca_R50,23/03/2024,0,0,1,Female,Adult,1.92,Adult
THIRD,B4,P6,Cations,Ca_R51,23/03/2024,0,0,1,Female,Adult,1.78,Adult
THIRD,B4,P6,Cations,Ca_R53,23/03/2024,0,0,1,Female,Adult,1.6,Adult
FIRST,B1,P8,Control,Co_R01,15/10/2022,0,0,0,Female,Adult,1.76,Adult
FIRST,B1,P8,Control,Co_R02,15/10/2022,0,0,0,Female,Adult,1.62,Adult
FIRST,B1,P8,Control,Co_R04,16/10/2022,0,0,0,Female,Adult,1.6,Adult
FIRST,B4,P1,Control,Co_R06,20/10/2022,0,0,0,Female,Adult,1.67,Adult
FIRST,B2,P8,Control,Co_R08,24/10/2022,0,0,0,Female,Adult,1.75,Adult
SECOND,B1,P8,Control,Co_R11,06/06/2023,0,0,0,Female,Adult,1.68,Adult
SECOND,B4,P1,Control,Co_R36,14/06/2023,0,0,0,Female,Adult,1.71,Adult
THIRD,B1,P8,Control,Co_R38,18/03/2024,0,0,0,Female,Adult,1.77,Adult
THIRD,B1,P8,Control,Co_R41,18/03/2024,0,0,0,Female,Adult,1.75,Adult
THIRD,B1,P8,Control,Co_R42,18/03/2024,0,0,0,Female,Adult,1.64,Adult
THIRD,B4,P1,Control,Co_R43,24/03/2024,0,0,0,Female,Adult,1.68,Adult
THIRD,B4,P1,Control,Co_R44,24/03/2024,0,0,0,Female,Adult,1.53,Adult
THIRD,B4,P1,Control,Co_R49,24/03/2024,0,0,0,Female,Adult,1.7,Adult
THIRD,B4,P1,Control,Co_R50,24/03/2024,0,0,0,Female,Adult,1.87,Adult
THIRD,B4,P1,Control,Co_R51,24/03/2024,0,0,0,Female,Adult,1.49,Adult
THIRD,B4,P1,Control,Co_R52,24/03/2024,0,0,0,Female,Adult,1.61,Adult
THIRD,B4,P1,Control,Co_R53,24/03/2024,0,0,0,Female,Adult,1.8,Adult
THIRD,B4,P1,Control,Co_R54,24/03/2024,0,0,0,Female,Adult,1.57,Adult
THIRD,B4,P1,Control,Co_R55,25/03/2024,0,0,0,Female,Adult,1.84,Adult
FIRST,B1,P1,Phosphorus,P_R01,16/10/2022,0,1,0,Female,Adult,1.66,Adult
FIRST,B1,P1,Phosphorus,P_R03,16/10/2022,0,1,0,Female,Adult,1.57,Adult
FIRST,B3,P4,Phosphorus,P_R05,22/10/2022,0,1,0,Female,Adult,1.7,Adult
